batch_size,epochs_run,best_val_auc,test_f1_macro,test_f1_micro,test_auc_macro,test_hamming,ckpt_path
256,12,0.9697,0.5275,0.6998,0.9752,0.0235,/content/drive/MyDrive/Progetto_DL_Filtro_Anti-Hater_Carleo_G/tune_model_bs256.keras
128,12,0.9692,0.514,0.6959,0.9728,0.0239,/content/drive/MyDrive/Progetto_DL_Filtro_Anti-Hater_Carleo_G/tune_model_bs128.keras
